IDX,X,Y,TYPE,SPEED,DirType,Direction // Сгенерировано 2015-10-31 00:28:23 http://mapcam.info
0,69.4232340,53.2864312,101,40,1,313
0,69.3510230,53.2876310,102,20,1,140
0,69.3871507,53.3141808,102,20,1,171
0,73.1429654,49.7841251,101,50,1,316
0,73.1447510,49.7829613,1,50,1,315
0,73.1534090,49.8174546,101,50,1,44
0,73.0645040,49.8062196,1,40,1,285
0,71.4327408,51.1225091,1,60,1,283
0,73.1290110,49.8221330,5,40,1,62
0,69.1471700,54.9022114,101,40,1,358
0,69.1049373,54.8504443,101,40,1,149
0,69.2155570,54.9083158,104,40,1,287
0,69.2164153,54.9061878,104,40,1,129
0,69.1182679,54.8421512,101,40,1,143
0,69.1135150,54.8438625,101,40,1,303
0,69.1642034,54.8781869,104,40,1,3
0,69.1732639,54.8802083,103,20,1,270
0,69.1618431,54.8760079,104,40,1,228
0,69.1520208,54.8899499,3,60,2,2
0,69.1542750,54.9098960,101,40,1,5
0,69.1537340,54.9029790,101,40,1,184
0,69.1179889,54.8807236,101,40,1,103
0,69.1032153,54.8833467,101,40,1,318
0,69.0995783,54.8857135,101,40,1,138
0,69.1261858,54.8603444,3,60,2,48
0,69.1413832,54.8684393,1,60,2,136
0,69.1413617,54.8684424,1,60,2,48
0,69.0957910,54.8880367,101,40,1,317
0,69.0185130,54.9716490,101,60,1,6
0,69.0164400,54.9495650,101,60,1,179
0,70.4278296,54.9191636,101,70,1,268
0,70.4831207,54.9177577,101,70,1,90
0,71.3909656,51.1286653,5,60,2,283
0,71.3273000,51.1423560,1,60,2,51
0,71.4955473,51.1313956,3,60,2,335
0,71.4365339,51.1616294,101,30,1,79
0,69.1498697,54.8675811,103,20,1,317
0,69.1421556,54.8947596,1,60,2,179
0,73.1900007,49.8525771,5,40,2,9
0,73.2107234,49.8936599,3,40,2,3
0,69.4329071,53.2719567,1,60,2,129
0,69.3671393,53.2721941,1,60,2,80
0,69.2598886,53.3413827,101,40,1,3
0,69.2595237,53.3372797,101,40,1,183
0,69.2647541,53.3184476,101,40,1,293
0,69.2675919,53.3177394,101,40,1,112
0,69.1247535,54.9556386,104,60,1,23
0,69.1249520,54.9544373,104,60,1,168
0,69.1394949,54.8739925,3,60,2,318
0,69.1394842,54.8739925,3,60,2,47
0,69.1357130,54.8718626,1,60,1,319
0,69.1356915,54.8720324,1,60,1,139
0,71.6379029,51.1234720,1,70,1,287
0,71.4448321,51.1206269,1,60,1,285
0,71.5512550,51.1362640,1,60,1,88
0,71.4541760,51.1038660,1,60,1,310
0,71.4567230,51.1025330,1,60,1,131
0,71.3675250,51.1316820,1,60,2,280
0,71.3872030,51.1701780,1,60,1,123
0,71.5161896,51.1610521,1,60,1,303
0,71.4450600,51.1430080,1,60,1,357
0,71.4994340,51.1676480,1,60,1,121
0,71.5172580,51.1609170,1,60,1,120
0,71.6382980,51.1235540,1,70,1,107
0,71.6603430,51.1181710,1,70,1,116
0,71.4096576,51.1631176,3,60,1,259
0,71.4274728,51.1654657,3,60,1,171
0,71.4272475,51.1654590,3,60,1,350
0,71.4272422,51.1654421,3,60,1,259
0,71.4367425,51.1785359,3,60,1,260
0,71.4229989,51.1473644,5,60,1,205
0,71.4301497,51.1034950,101,40,1,200
0,71.4301014,51.1050512,101,40,1,20
0,71.4666331,51.1367359,3,60,1,335
0,71.4667028,51.1366618,3,60,1,247
0,71.4118838,51.1183473,3,60,1,187
0,71.4117604,51.1183708,3,60,1,5
0,71.4115191,51.1161955,3,60,1,104
0,71.4112991,51.1161046,3,60,1,283
0,71.4114708,51.1160709,3,60,1,186
0,74.9743938,46.8341413,101,30,1,285
0,74.9725056,46.8588191,101,40,1,185
0,71.4539784,51.1193473,3,60,1,104
0,71.4542305,51.1191217,3,60,1,285
0,71.4540213,51.1192463,3,60,1,17
0,71.3685125,51.1480307,3,60,1,113
0,71.3681692,51.1479399,3,60,1,295
0,71.3684106,51.1478827,3,60,1,200
0,71.3682497,51.1481048,3,60,1,22
0,69.1978630,54.4141600,103,30,1,24
0,69.1796570,54.5679660,103,30,1,343
0,69.1921250,54.4060730,103,30,1,204
0,69.1584990,54.0447770,103,30,1,182
